"County","Calendar Year","Quarter","Per Capita Sales","Total Taxable Sales"
"Mendocino","2018","2","41.62","3685323"
"Monterey","2018","2","18.06","7922972"
"Nevada","2018","2","5.46","536113"
"Orange","2018","2","8.11","25865078"
"Riverside","2018","2","6.1","14636169"
"Sacramento","2018","2","27.87","42508597"
"San Bernardino","2018","2","1.36","2928253"
"San Diego","2018","2","15.03","49933303"
"San Francisco","2018","2","68.44","60620495"
"San Luis Obispo","2018","2","2.62","729973"
"San Mateo","2018","2","1.45","1119356"
"Santa Barbara","2018","2","11.85","5323503"
"Santa Clara","2018","2","21.25","41316436"
"Santa Cruz","2018","2","50.05","13693626"
"Shasta","2018","2","19.75","3522417"
"Siskiyou","2018","2","26.24","1170500"
"Solano","2018","2","18.18","7945532"
"Sonoma","2018","2","35.23","17632230"
"Stanislaus","2018","2","31.58","17380910"
"Tulare","2018","2","4.97","2349989"
"Undisclosed","2018","2","","6101907"
"Ventura","2018","2","4","3398859"
