County,Calendar_year,Financial_quarter,Per_capita_sales,Total_taxable_sales
NEVADA,2018,2,5.46,536113
ORANGE,2018,2,8.11,25865078
RIVERSIDE,2018,2,6.1,14636169
SACRAMENTO,2018,2,27.87,42508597
SAN BERNARDINO,2018,2,1.36,2928253
SAN DIEGO,2018,2,15.03,49933303
SAN FRANCISCO,2018,2,68.44,60620495
SAN LUIS OBISPO,2018,2,2.62,729973
SAN MATEO,2018,2,1.45,1119356
SANTA BARBARA,2018,2,11.85,5323503
SANTA CLARA,2018,2,21.25,41316436
SANTA CRUZ,2018,2,50.05,13693626
SHASTA,2018,2,19.75,3522417
SISKIYOU,2018,2,26.24,1170500
SOLANO,2018,2,18.18,7945532
SONOMA,2018,2,35.23,17632230
STANISLAUS,2018,2,31.58,17380910
TULARE,2018,2,4.97,2349989
UNDISCLOSED,2018,2,,6101907
VENTURA,2018,2,4,3398859
